"File","Loc","Percent","Match","TextAround"
"Levitin_Financial Restructuring_Spring 2024_Final Exam.docx","24388","65.85%","death","t in immediate financial distress.  The wrongful death and personal injury tort claims cannot be adjudic"
"Levitin_Financial Restructuring_Spring 2024_Final Exam.docx","24788","66.93%","death","sor liability suits against Olympian for wrongful death and personal injuries because they are property o"
"Levitin_Financial Restructuring_Spring 2024_Final Exam.docx","24943","67.35%","death","sor liability suits against Olympian for wrongful death and personal injuries on account of Olympian?s ri"
"Levitin_Financial Restructuring_Spring 2024_Final Exam.docx","34975","94.44%","death","lan on account on account of the plan?s coercive ?death trap? treatment of the class. III. A best inter"
,,,"",
"Levitin_Financial Restructuring_Spring 2024_Final Exam_Answer Key.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Levitin_Financial Restructuring_Spring 2024_Final Exam_Answer Key.docx"
,,,"",
"VLADECK  FEDERAL COURTS SPRING FINALEXAM.docx","8019","82.63%","war","uana. Hotung?s Highway Patrol has decided to wage war against out-of-state motorists traveling through "
"VLADECK  FEDERAL COURTS SPRING FINALEXAM.docx","8508","87.67%","police",", or driving when intoxicated). In each stop, the police officer detains Dylan until a canine unit arrives"
"VLADECK  FEDERAL COURTS SPRING FINALEXAM.docx","8635","88.97%","police","ffs? the vehicle for drugs. And in each stop, the police officer finds no drugs or contraband. Nor have th"
"VLADECK  FEDERAL COURTS SPRING FINALEXAM.docx","8693","89.57%","police","fficer finds no drugs or contraband. Nor have the police given Dylan any citations because their dashboard"
,,,"",
"ZYTNICK_CORPORATIONS_SPRING2024_FINALEXAM(f).docx","14258","58.66%","race","he following rationales is most consistent with a race to the bottom?Staggered boards promote corporat"
,,,"",
